dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,H,HA010,Regime of household finances,Ad-hoc module,Intra-household sharing of resources,2010,false,1 We treat all incomes as common resources 2 We treat some incomes as common resources and the rest as private resources 3 We treat all incomes as private resources of the person receiving it 4 We do not receive any income in the household,
EU-SILC public microdata,H,HA020,Management of common household finances,Ad-hoc module,Intra-household sharing of resources,2010,false,"1 One or more household members 2 At least 1 person inside, and at least 1 person outside, the household is involved in managing the common household finances 3 No person inside the household, and at least 1 person outside the household, is involved in managing the common household finances 4 There are no common household finances",
EU-SILC public microdata,H,HA070,Number of persons managing the household finances,Ad-hoc module,Intra-household sharing of resources,2010,false,Integer,
EU-SILC public microdata,H,HC010,Shortage of space in the dwelling,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC020,Size of the dwelling in square meters,Ad-hoc module,Housing conditions,2012,false,Integer,
EU-SILC public microdata,H,HC030,Adequate electrical installations,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC040,Adequate plumbing / water installations,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC050,Dwelling equipped with heating facilities,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC060,Dwelling comfortably warm during winter time,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC070,Dwelling comfortably cool during summer time,Ad-hoc module,Housing conditions,2012,false,1 Yes 2 No,
EU-SILC public microdata,H,HC080,Overall satisfaction with the dwelling,Ad-hoc module,Housing conditions,2012,false,1 Very dissatisfied 2 Dissatisfied 3 Satisfied 4 Very satisfied,
EU-SILC public microdata,H,HC090,Accessibility of grocery services,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC100,Accessibility of banking services,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC110,Accessibility of postal services,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC120,Accessibility of public transport,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC130,Accessibility of primary health care services,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC140,Accessibility of compulsory school,Ad-hoc module,Housing conditions,2012,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HC150,Immediate risk of changing the dwelling,Ad-hoc module,Housing conditions,2012,false,"1 Yes, household will be forced to leave the dwelling 2 Yes, household plans to change the dwelling 3 No, household does not expect any change of the dwelling",
EU-SILC public microdata,H,HC160,Main reason for the expectation to be forced to leave the dwelling,Ad-hoc module,Housing conditions,2012,false,"1 Household will be forced to leave, since notice has been / will be given by the landlord on termination of the contract 2 Household will be forced to leave, since notice has been/will be given by the landlord in the absence of a formal contract 3 Household will be forced to leave because of eviction 4 Household will be forced to leave for financial difficulties 5 Household will be forced to leave for some other reasons",
EU-SILC public microdata,H,HD010,Place to live with hot running water,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No,
EU-SILC public microdata,H,HD020,Expectation of household to change dwelling,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No,
EU-SILC public microdata,H,HD025,Main reason for the expectation to change dwelling,Ad-hoc module,Material deprivation,2009,false,"1 Household will be forced to leave, since notice has been / will be given on termination of the contract 2 Household will be forced to leave, since notice has been/will be given in the absence of a formal contract 3 Household will be forced to leave because of eviction or distraint 4 Household will be forced to leave for financial difficulties 5 Household will be forced to leave for a family-related reason 6 Household will leave for an employment-related reason 7 Household will leave for some other reason",
EU-SILC public microdata,H,HD030,Shortage of space in dwelling,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No,
EU-SILC public microdata,H,HD035,Size of dwelling in square metres,Ad-hoc module,Material deprivation,2009,false,Integer,
EU-SILC public microdata,H,HD040,Litter lying around in the neighbourhood,Ad-hoc module,Material deprivation,2009,false,1 Very frequently 2 Frequently 3 Sometimes 4 Rarely or never,
EU-SILC public microdata,H,HD050,"Damaged public amenities (bus stops, lamp posts, pavements, etc.) in the neighbourhood",Ad-hoc module,Material deprivation,2009,false,1 Very frequently 2 Frequently 3 Sometimes 4 Rarely or never,
EU-SILC public microdata,H,HD060,Accessibility of public transport,Ad-hoc module,Material deprivation,2009,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HD070,Accessibility of postal or banking services,Ad-hoc module,Material deprivation,2009,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,HD080,Replacing worn-out furniture,Ad-hoc module,Material deprivation,2009 and 2013,true,"""Furniture"" means objects such as tables, chairs, beds, desks, dressers, cupboards, etc. kept in the dwelling to make it suitable or comfortable for living in.  Secondhand furniture can be take into account.  1 Yes 2 No - household cannot afford it 3 No - other reason",
EU-SILC public microdata,H,HD090,Internet connection,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD100,Replace worn-out clothes with some new (not second-hand) ones,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD110,Two pairs of properly fitting shoes (including a pair of all-weather shoes),Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD120,Fruit and vegetables once a day,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD130,Three meals a day,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD140,One meal with meat,Ad-hoc module,Material deprivation,2009 and 2013,true,Including chicken fish or vegetarian equivalent every second day.  1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD150,Books at home suitable for age,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD160,Outdoor leisure equipment (e.g. bicycle),Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD170,Indoor games (e.g. educational baby toys),Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD180,Regular leisure activity (e.g. swimming),Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD190,Celebrations on special occasions (e.g. birthdays),Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD200,Invite friends round to play and eat from time to time,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD210,Participate in school trips and school events that cost money,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD220,Suitable place to study or do homework,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD230,Outdoor space in the neighbourhood where children can play safely,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No,
EU-SILC public microdata,H,HD240,Go on holiday away from home at least 1 week per year,Ad-hoc module,Material deprivation,2009 and 2013,true,1 Yes 2 No - household cannot afford it 3 No - other reason,
EU-SILC public microdata,H,HD250,"Unmet need for consulting a GP or specialist, excluding dentists and ophthalmologists",Ad-hoc module,Material deprivation,2009,false,"1 Yes, there was at least one occasion 2 No, there was no occasion",
EU-SILC public microdata,H,HD255,"Main reason for unmet need for consulting a GP or specialist, excluding dentists and ophthalmologists",Ad-hoc module,Material deprivation,2009,false,"1 Could not afford to (too expensive) 2 Waiting list 3 Could not take the time because of work, care of children, or of other persons 4 Too far to travel / no means of transport 5 Other reason",
EU-SILC public microdata,H,HD260,Unmet need for consulting a dentist,Ad-hoc module,Material deprivation,2009,false,"1 Yes, there was at least one occasion 2 No, there was no occasion",
EU-SILC public microdata,H,HD265,Main reason for unmet need for consulting a dentist,Ad-hoc module,Material deprivation,2009,false,"1 Could not afford to (too expensive) 2 Waiting list 3 Could not take the time because of work, care of children, or of other persons 4 Too far to travel / no means of transport 5 Other reason",
EU-SILC public microdata,H,MH010,Shortage of space in dwelling,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH020,Adequate electrical installations,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH030,Adequate plumbing/water installations,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH040,Dwelling equipped with heating facilities,Ad-hoc module,Housing conditions,2007,false,"1 Yes, central heating or similar 2 yes, other fixed heating 3 no, no fixed heating",
EU-SILC public microdata,H,MH050,Dwelling comfortably warm during winter time,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH060,Dwelling equipped with air conditioning facilities,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH070,Dwelling comfortably cool during summer time,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH080,Overall satisfaction with dwelling,Ad-hoc module,Housing conditions,2007,false,1 Very dissatisfied 2 Somewhat dissatisfied 3 Satisfied 4 Very satisfied,
EU-SILC public microdata,H,MH090,Accessibility of grocery services,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH100,Accessibility of banking services,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH110,Accessibility of postal services,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH120,Accessibility of public transport,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH130,Accessibility of primary health care services,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH140,Accessibility of compulsory school,Ad-hoc module,Housing conditions,2007,false,1 With great difficulty 2 With some difficulty 3 Easily 4 Very easily,
EU-SILC public microdata,H,MH150,Change of dwelling,Ad-hoc module,Housing conditions,2007,false,1 Yes 2 No,
EU-SILC public microdata,H,MH160,Main reason for change of dwelling,Ad-hoc module,Housing conditions,2007,false,1 Family related reasons 2 Employment related reasons 3 housing related reasons 4 Eviction / distraint 5 Landlord did not prolong contract 6 Financial reasons 7 Other,
EU-SILC public microdata,H,MI010, Household has a bank current account,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI020, Household is overdrawn on one of its bank accounts,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI025, Estimated total amount unbalanced on household bank accounts,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 The amount owed represents 10% of the household's disposable income 2 The amount owed represents between 10% and 33% of the household's disposable income 3 The amount owed represents between 33% and 100% of the household's disposable income 4 The amount owed represents more than 100% of the household's disposable income,
EU-SILC public microdata,H,MI026, Total amount unbalanced on household bank accounts,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,,
EU-SILC public microdata,H,MI030,Household has credit card(s) and / or store card(s),Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI040,Household has credit card(s) and / or store card(s) with un-cleared balances,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI045,Estimated total amount unbalanced at the last monthly statement on household credit / store cards,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 The amount owed represents 10% of the household's disposable income 2 The amount owed represents between 10% and 33% of the household's disposable income 3 The amount owed represents between 33% and 100% of the household's disposable income 4 The amount owed represents more than 100% of the household's disposable income,
EU-SILC public microdata,H,MI046,Total amount unbalanced at the last monthly statement on household credit / store cards,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,,
EU-SILC public microdata,H,MI050,Household has credits or loans (other than mortgage for the main dwelling),Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI051,Household has mortgage for other than the main dwelling,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI052,"Household has hire purchase instalments (e g  leasing, car, technical equipment)",Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI053,"Household has home-related credit / loans (inventory, domestic appliances, repairs)",Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI054,Household has credit / loans to pay for holidays / leisure,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI055,Household has credit / loans to pay for education or child care,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI056,Household has credit / loans to pay for health issues,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI057,Household has credit / loans for investment or business start-up,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI058,"Household has other cash loans (debt conversion, to cover overdraft, credit card and other bills, etc )",Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI060,Arrears on other non-housing household bills,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI065,Estimated total amount currently in arrears for other non-housing household bills,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 The amount owed represents 10% of the household's disposable income 2 The amount owed represents between 10% and 33% of the household's disposable income 3 The amount owed represents between 33% and 100% of the household's disposable income 4 The amount owed represents more than 100% of the household's disposable income,
EU-SILC public microdata,H,MI066,Total amount currently in arrears for other non-housing household bills,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,,
EU-SILC public microdata,H,MI075,Estimated total amount currently in arrears for household housing bills / repayments,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 The amount owed represents 10% of the household's disposable income 2 The amount owed represents between 10% and 33% of the household's disposable income 3 The amount owed represents between 33% and 100% of the household's disposable income 4 The amount owed represents more than 100% of the household's disposable income,
EU-SILC public microdata,H,MI076,Total amount currently in arrears for other non-housing household bills,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,,
EU-SILC public microdata,H,MI085,Estimated total amount currently in arrears for household other loans and credit repayment,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 The amount owed represents 10% of the household's disposable income 2 The amount owed represents between 10% and 33% of the household's disposable income 3 The amount owed represents between 33% and 100% of the household's disposable income 4 The amount owed represents more than 100% of the household's disposable income,
EU-SILC public microdata,H,MI086,Total amount currently in arrears for household other loans and credit repayment,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,,
EU-SILC public microdata,H,MI090,Major drop in household income during the last 12 months,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI095,Main reason for drop in income,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Job loss / redundancy 2 Change in hours worked and / or wages 3 Inability to work due to sickness or disability 4 Maternity / paternity / parental leave (childcare) 5 Retirement 6 Marriage / relationship breakdown 7 Other change in household composition 8 Other reason,
EU-SILC public microdata,H,MI100,Expectation of financial situation in the next 12 months,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,Do you expect your financial situation to:  1 Improve 2 Stay about the same 3 Get worse 4 Do not know,
EU-SILC public microdata,H,MI110,Household does not need an account and prefers to deal in cash,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI111,The charges are too high,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI112,There is no bank branch near where household lives or works,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI113,Household has applied for an account and been turned down,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI114,Banks would refuse household,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI120,Household does not need to borrow at all,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI121,Household can borrow from family or friends,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI122,Household will not be able to repay debt,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI123,Household has applied for credit and been turned down,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI124,Household used to have credit but the facility was withdrawn,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,H,MI125,Banks would refuse to give credit to household,Ad-hoc module,Over-indebtedness and financial exclusion,2008,false,1 Yes 2 No,
EU-SILC public microdata,P,PB010,Year of the Survey,Basic data,Basic personal data,All,true,,Basic variable from original data.
EU-SILC public microdata,P,PB020,Country,Basic data,Basic personal data,All,true,AT Oesterreich BE Belgique BG Bulgaria CH Switzerland CY Cyprus CZ Czech Republic DE Deutschland DK Danmark EE Estonia EL Ellada ES Espana FI Suomi FR France HR Croatia HU Hungary IE Ireland IS Iceland IT Italia LT Lithuania LU Luxembourg LV Latvia MT Malta NL Nederland NO Norway PL Poland PT Portugal RO Romania RS Srbija SE Sverige SI Slovenia SK Slovak Republic UK United Kingdom,
EU-SILC public microdata,P,PB030,Personal ID,Basic data,Basic personal data,All,true,"Every household will receive a household number. This number is the basis on which the Household ID and the Personal ID are constructed.  It is sequential, unique for all years of the survey, and it will be in accordance with confidentiality rules.  Personal ID = Household ID + personal number (2 digits).",
EU-SILC public microdata,P,PB040,Personal cross-sectional weight,Basic data,Basic personal data,All,true,See Note 3.,
EU-SILC public microdata,P,PB060,Personal cross-sectional weight for selected respondent,Basic data,Basic personal data,All,true,See Note 3.,
EU-SILC public microdata,P,PB100,Quarter of the personal interview,Basic data,Basic personal data,All,true,Quarter of the calendar year.  1 January - March 2 April - June 3 July - September 4 October - December,
EU-SILC public microdata,P,PB110,Year of the personal interview,Basic data,Basic personal data,All,true,,
EU-SILC public microdata,P,PB120,Minutes to complete the personal questionnaire,Basic data,Basic personal data,All,true,"Discrete values in the range ""1 minute to 90 minutes"".",
EU-SILC public microdata,P,PB130,Quarter of birth,Basic data,Demographic data,All,true,Quarter of the calendar year.  1 January - March 2 April - June 3 July - September 4 October - December,
EU-SILC public microdata,P,PB140,Year of birth,Basic data,Demographic data,All,true,"Discrete years from 80 years prior to the situation date; so 1932 onwards (where 1932 includes those born earlier) for the 2013 data, 1931 onwards for the 2012 data, etc.",
EU-SILC public microdata,P,PB150,Sex,Basic data,Demographic data,All,true,1 Male 2 Female,"If missing this is set to the value from the personal register (RB090).  If RB090 is missing, it is set to ""male"".  Most of the original data contain no missing values for the ""sex"" variable; if there are any missing values, their proportion is far below 1%, therefore this recoding has no great impact on the results."
EU-SILC public microdata,P,PB190,Marital status,Basic data,Demographic data,All,true,1 never married 2 married 3 separated 4 widowed 5 divorced,"Basic variable from original data.  Simulated from citizenship (PB220A), and used as the explanatory variable to simulate education (PE040) during the 2nd stage of synthesisation."
EU-SILC public microdata,P,PB200,Consensual union,Basic data,Demographic data,All,true,"1 yes, on a legal basis 2 yes, without a legal basis 3 no",
EU-SILC public microdata,P,PB220A,Citizenship 1,Basic data,Demographic data,All,true,"Citizenship is defined as the particular legal bond between the individual and his/her State acquired by birth or naturalisation, whether by declaration, choice, option, marriage or other means according to the national legislation. It generally corresponds to the country that issues the passport.  EU LOC (country as declared at PB020) Other","Basic categorical variable from original data.  Simulated from self-defined current economic status (PL031), and used as the explanatory variable to simulate marital status (PB190) during the 2nd stage of synthesisation.   The country code level of detail in the SUFs is coarsened into 3 groups (EU, LOC and Other).  For groups of years it is specified which countries belong to the European Union."
EU-SILC public microdata,P,PE010,Current education activity,Education,Current education and highest ISCED level attained,All,true,1 in education 2 not in education,
EU-SILC public microdata,P,PE020,ISCED level currently attended,Education,Current education and highest ISCED level attained,All,true,International Standard Classification of Education.  1 primary education 2 lower secondary education3 (upper) secondary education 4 post-secondary non-tertiary education 5 1st stage & 2nd stage of tertiary education,
EU-SILC public microdata,P,PE040,Highest ISCED (education) level attained,Education,Current education and highest ISCED level attained,All,true,0 pre-primary education 1 primary education 2 lower secondary education  3 (upper) secondary education 4 post-secondary non-tertiary education  5 1st & 2nd stage of tertiary education,"Basic categorical variable from original data.  Simulated from marital status (PB190), and used as the explanatory variable to simulate occupation (PL051) during the 2nd stage of synthesisation."
EU-SILC public microdata,P,PL030,Self-defined current economic status,Labour information,"Basic labour information on current activity status and on current main job, including information on last main job for previously active people","2005 to 2010, inclusive",false,"Replaced by PL031.  1 Working full-time 2 Working part-time 3 Unemployee 4 Pupil, student, further training, unpaid work experience 5 In retirement, or in early retirement, or has given up business 6 Permanently disabled or / and unfit to work 8 Fulfilling domestic tasks or care responsibilities 9 Other inactive person",
EU-SILC public microdata,P,PL031,Self-defined current economic status,Labour information,Basic labour information on current activity status and on current job,"2009 to 2013, inclusive",true,Replaced PL030.  1 Employee working full-time 2 Employee working part-time 3 Self-employed working full-time (including family worker) 4 Self-employed working part-time (including family worker 5 Unemployed 6 Pupil 7 In retirement or in early retirement or has given up business 8 Permanently disabled or -and unfit to work 9 In compulsory military community or service 10 Fulfilling domestic tasks and care responsibilities 11 Other inactive person,Basic variable from original data.  Used as the explanatory variable to simulate Citizenship (PB220A) during the 2nd stage of synthesisation.
EU-SILC public microdata,P,PL035,Worked at least 1 hour during the previous week,Labour information,Basic labour information on current activity status and on current job,All,true,1 yes 2 no,
EU-SILC public microdata,P,PL015,Person has ever worked,Labour information,Basic labour information on current and past activity status,All,true,"Casual jobs undertaken from time to time are disregarded, for example vacation jobs undertaken by students.  1 yes 2 no",
EU-SILC public microdata,P,PL020,Actively looking for a job,Labour information,Basic labour information on current activity status,All,true,"Only applies to persons not currently working, as self-defined in PL031.  1 yes 2 no",
EU-SILC public microdata,P,PL025,Available for work,Labour information,Basic labour information on current activity status,All,true,Persons available for paid employment before the end of the two weeks following the reference week.  1 yes 2 no,
EU-SILC public microdata,P,PL040,Status in employment,Labour information,"Basic labour information on current activity status and on current main job, including information on last main job for previously active people",All,true,1 Self-employed with employees 2 Self-employed without employees 3 employee 4 family worker,
EU-SILC public microdata,P,PL050,Occupation,Labour information,"Basic labour information on current activity status and on current main job, including information on last main job for previously active people","2005 to 2011, inclusive",false,"Replaced by PL051.  ISCO-88 top level codes: 0 Armed Forces 1 Legislators, senior officials and managers 2 Professionals 3 Technicians and associated professionals 4 Clerks 5 Service workers and shop and market sales workers 6 Skilled agricultural and fishery workers 7 Craft and related trade workers 8 Plant and machine operators and assemblers 9 Elementary occupations","Basic categorical variable from original data.  Simulated from education (PE040), and used as the explanatory variable to simulate NACE (PL111) during the 2nd stage of synthesisation."
EU-SILC public microdata,P,PL051,Occupation,Labour information,"Basic labour information on current activity status and on current main job, including information on last main job for previously active people","2011 to 2013, inclusive",true,"Replaced PL050.  ISCO-08 top level codes: 0 Armed Forces 1 Legislators, senior officials and managers 2 Professionals 3 Technicians and associated professionals 4 Clerks 5 Service workers and shop and market sales workers 6 Skilled agricultural and fishery workers 7 Craft and related trade workers 8 Plant and machine operators and assemblers 9 Elementary occupations","Basic categorical variable from original data.  Simulated from education (PE040), and used as the explanatory variable to simulate NACE (PL111) during the 2nd stage of synthesisation."
EU-SILC public microdata,P,PL060,Number of hours usually worked per week in main job,Labour information,Basic information on current activity status and on current main job,All,true,"Discrete values in the range ""1 hour to 99 hours"".",
EU-SILC public microdata,P,PL070,Number of months spent at full-time work,Labour information,Number of months worked,"2005 to 2010, inclusive",false,"Over last 12 months, number of months expressed as discrete values in the range 0 - 12.",
EU-SILC public microdata,P,PL072,Number of months spent at part-time work,Labour information,Number of months worked,"2005 to 2010, inclusive",false,"Over last 12 months, number of months expressed as discrete values in the range 0 - 12.",
EU-SILC public microdata,P,PL100,"Total number of hours usually worked in second, third, … jobs",Labour information,Total number of hours worked on second / third … jobs,All,true,"Discrete values in the range ""1 hour to 98 hours"".",
EU-SILC public microdata,P,PL110,NACE Rev.1,Labour information,Detailed labour information,"2005 to 2007, inclusive",false,"Replaced by PL111.  Economic activities are characterised by the input of goods or services, a production process and the output of products.  Classification is according to NACE Rev.1.  a+b Agriculture, hunting / forestry and fishing c+d+e Mining and quarrying / manufacturing / electricity, gas and water supply f Construction g Wholesale and retail trade / repair of motor vehicles, motorcycles and personal and household goods h Hotels and restaurants i Transport, storage and communication j Financial intermediation k Real estate, renting and business activities l Public administration and defense, compulsory social security m Education n Health and social network o+p+q Other community, social and personal service activities",Basic categorical variable from original data.  Coarsened version of SUF variable.  The 2-digit codes are combined into economic divisions.  Simulated from occupation (PL051) during the 2nd stage of synthesisation.
EU-SILC public microdata,P,PL111,NACE Rev.2,Labour information,Detailed labour information,"2008 to 2013, inclusive",true,"Replaced PL110.  Economic activities are characterised by the input of goods or services, a production process and the output of products.  Classification is according to NACE Rev.2.  a Agriculture, forestry and fishing b - e Manufacturing, mining, quarrying and other f Construction g Trade automobile and motorcycle repair h Transportation and storage i Accomodation and catering j Information and communication k Finance and insurance activities l - n Professional, scientific, technical, administration and support service activities (including real estate) o Public administration p Teaching q Health r - u Other services",Basic categorical variable from original data.  Coarsened version of SUF variable.  The 2-digit codes are combined into economic divisions.  Simulated from occupation (PL051) during the 2nd stage of synthesisation.
EU-SILC public microdata,P,PL120,Reason for working less than 30 hours,Labour information,Detailed labour information,All,true,1 Undergoing education or training 2 Personal illness or disability 3 Want to work more hours but cannot find a job(s) or work(s) of more hours 4 Do not want to work more hours 5 Number of all hours in all job(s) are considered as full-time job 6 Housework 7 Other reasons,
EU-SILC public microdata,P,PL130,Number of persons working at the local unit,Labour information,Detailed labour information,All,true,1 - 10 Exact number (if between 1 and 10) 11 between 11 and 19 persons 12 between 20 and 49 persons 13 50 persons or more 14 do not know but less than 11 persons 15 do not know but more than 10 persons,
EU-SILC public microdata,P,PL140,Type of contract,Labour information,Detailed labour information,All,true,1 Permanent job: work contract of unlimited duration 2 temporary job: work contract of limited duration,
EU-SILC public microdata,P,PL150,Managerial position,Labour information,Detailed labour information,All,true,1 supervisory 2 non-supervisory,
EU-SILC public microdata,P,PL160,Change of job since last year,Labour information,Detailed labour information,All,true,1 yes 2 no,
